,name,sub_type,management,ward_name,lga_name,state_name,geometry
52,University Of Lagos,Adult Education,Public,Abule Oja,Lagos Mainland,Lagos,POINT (3.385266823587289 6.517367301951594)
53,St Augustine College Of Education,Standard,Faith Based,Abule Oja,Lagos Mainland,Lagos,POINT (3.387125478406827 6.523832448952197)
54,Lagos State College Of Health Technology Yaba,Standard,Public,Harvey,Lagos Mainland,Lagos,POINT (3.37256 6.50927)
55,Building Craft Training School,Standard,Public,Harvey,Lagos Mainland,Lagos,POINT (3.375280790357401 6.510811314636629)
56,The London Acedemy,Adult Education,Public,Harvey,Lagos Mainland,Lagos,POINT (3.376321488027764 6.51438024621691)
57,Yaba College Of Technology,Standard,Public,Harvey,Lagos Mainland,Lagos,POINT (3.36966818700004 6.518023329414292)
58,Trinity University,Adult Education,Private,Onike/Oyadiran,Lagos Mainland,Lagos,POINT (3.383802634230786 6.50597737798013)
0,Madarasatul Zaharatul Islam,Adult Education,Private,Rigachikun,Igabi,Kaduna,POINT (7.475042939000048 10.64282835100005)
1,National Open University,Tertiary,,Rigachikun,Igabi,Kaduna,POINT (7.467157991444388 10.61210612235705)
2,Government Science Secondary School Ngarshang,Adult Education,Public,Fada,Jaba,Kaduna,POINT (8.026977181000063 9.45058107400007)
3,College Of Education State,Tertiary,,Gidan Waya,Jema'A,Kaduna,POINT (8.395130840984923 9.479737383138547)
4,Kaduna State University Kafanchan Campus,Tertiary,,Kaninkon,Jema'A,Kaduna,POINT (8.289069766625039 9.572597242974393)
5,Kaduna State College Of Education,Tertiary,,Maigizo,Jema'A,Kaduna,POINT (8.321160840984923 9.597656914996863)
6,Kaduna State University School Of Basic Studies,Tertiary,,Dadi Riba,Kaduna North,Kaduna,POINT (7.431792944143102 10.50628976662504)
7,Laduna Poly Cabs,Tertiary,,Unguwar Rimi,Kaduna North,Kaduna,POINT (7.442731448594879 10.5208622895798)
8,Kaduna Polytechnic c e s,Tertiary,,Barnawa,Kaduna South,Kaduna,POINT (7.423612710768141 10.49113233653314)
9,Business Apprentship Trainning Center,Adult Education,Public,Tudun Wada South,Kaduna South,Kaduna,POINT (7.401453853000021 10.50358415100004)
10,Kaduna Polytechnic,Tertiary,,Unguwan Sanusi,Kaduna South,Kaduna,POINT (7.416658458194314 10.52270163571238)
11,Batc Mararaban Kajuru,Adult Education,Public,Kufana,Kajuru,Kaduna,POINT (7.709547560000033 10.33667098000006)
